strain	virus	date	GISAID_clade	country_exposure	division_exposure	period	source
Scotland/GCVR-170C8E/2020	SARS-CoV-2	2020-03-25	G	United Kingdom	Scotland	C	Non-USA
England/NORT-292678/2020	SARS-CoV-2	2020-05-13	GR	United Kingdom	England	C	Non-USA
Wales/PHWC-31482/2020	SARS-CoV-2	2020-04-12	GR	United Kingdom	Wales	C	Non-USA
England/CAMB-74377/2020	SARS-CoV-2	2020-03-20	G	United Kingdom	England	C	Non-USA
Spain/MD-004968/2020	SARS-CoV-2	2020-05-07	S	Spain	Madrid	C	Non-USA
Brazil/PA0229/2020	SARS-CoV-2	2020-04-01	GR	Brazil	Para	C	Non-USA
Switzerland/42202622/2020	SARS-CoV-2	2020-03-22	GR	Switzerland	Basel-Stadt	C	Non-USA
England/OXON-B0C92/2020	SARS-CoV-2	2020-04-17	GR	United Kingdom	England	C	Non-USA
Denmark/ALAB-SSI-1387/2020	SARS-CoV-2	2020-04-03	GH	Denmark	Denmark	C	Non-USA
England/CAMB-81FCE/2020	SARS-CoV-2	2020-04-20	GR	United Kingdom	England	C	Non-USA
Spain/COV004046/2020	SARS-CoV-2	2020-03-17	G	Spain	Galicia	C	Non-USA
England/CAMB-72995/2020	SARS-CoV-2	2020-03-23	V	United Kingdom	England	C	Non-USA
India/nimh-0999/2020	SARS-CoV-2	2020-04-14	O	India	Karnataka	C	Non-USA
Spain/COV002731/2020	SARS-CoV-2	2020-04-14	G	Spain	Galicia	C	Non-USA
Belgium/ULG-9536/2020	SARS-CoV-2	2020-03-30	G	Belgium	Liège	C	Non-USA
Scotland/CVR1595/2020	SARS-CoV-2	2020-04-04	G	United Kingdom	Scotland	C	Non-USA
Scotland/CVR1232/2020	SARS-CoV-2	2020-03-31	S	United Kingdom	Scotland	C	Non-USA
England/NOTT-1125B0/2020	SARS-CoV-2	2020-04-28	GR	United Kingdom	England	C	Non-USA
England/NORW-E8CDD/2020	SARS-CoV-2	2020-04-13	V	United Kingdom	England	C	Non-USA
India/GBRC255b/2020	SARS-CoV-2	2020-06-12	GH	India	Gujarat	C	Non-USA
Wales/PHWC-165E2C/2020	SARS-CoV-2	2020-05-18	GH	United Kingdom	Wales	C	Non-USA
England/BRIS-12D95C/2020	SARS-CoV-2	2020-05-07	GR	United Kingdom	England	C	Non-USA
England/BRIS-12AED8/2020	SARS-CoV-2	2020-05-01	GR	United Kingdom	England	C	Non-USA
England/NORT-293826/2020	SARS-CoV-2	2020-07-06	GR	United Kingdom	England	C	Non-USA
England/CAMB-82060/2020	SARS-CoV-2	2020-04-21	GR	United Kingdom	England	C	Non-USA
Spain/Villarrobledo-COV003744/2020	SARS-CoV-2	2020-04-01	G	Spain	Castilla la Mancha	C	Non-USA
England/20184048804/2020	SARS-CoV-2	2020-04-27	GR	United Kingdom	England	C	Non-USA
England/SHEF-C623D/2020	SARS-CoV-2	2020-05-11	GR	United Kingdom	England	C	Non-USA
England/NORT-29DC20/2020	SARS-CoV-2	2020-05-07	G	United Kingdom	England	C	Non-USA
India/GBRC319/2020	SARS-CoV-2	2020-06-17	S	India	Gujarat	C	Non-USA
