strain	virus	date	GISAID_clade	country_exposure	division_exposure	period	source
USA/NY-SURV0302/2020	SARS-CoV-2	2020-03-09	O	USA	New York	C	NY
USA/NY-SURV0444/2020	SARS-CoV-2	2020-03-09	O	USA	New York	C	NY
USA/NY-SURV052/2020	SARS-CoV-2	2020-03-04	S	USA	New York	C	NY
USA/NY-SURV0592/2020	SARS-CoV-2	2020-03-08	O	USA	New York	C	NY
USA/NY-SURV076/2020	SARS-CoV-2	2020-03-05	GH	USA	New York	C	NY
USA/NY-SURV0874/2020	SARS-CoV-2	2020-03-09	O	USA	New York	C	NY
USA/NY-SURV097/2020	SARS-CoV-2	2020-03-09	O	USA	New York	C	NY
USA/NY-Wadsworth-10495-01/2020	SARS-CoV-2	2020-03-03	GH	USA	New York	C	NY
USA/NY-Wadsworth-10496-01/2020	SARS-CoV-2	2020-03-03	GH	USA	New York	C	NY
USA/NY-Wadsworth-10528-01/2020	SARS-CoV-2	2020-03-03	GH	USA	New York	C	NY
USA/NY-Wadsworth-10683-01/2020	SARS-CoV-2	2020-03-04	V	USA	New York	C	NY
USA/NY-Wadsworth-10690-01/2020	SARS-CoV-2	2020-03-04	GH	USA	New York	C	NY
USA/NY-Wadsworth-10707-01/2020	SARS-CoV-2	2020-03-04	GH	USA	New York	C	NY
USA/NY-Wadsworth-11000-01/2020	SARS-CoV-2	2020-03-05	V	USA	New York	C	NY
USA/NY-Wadsworth-11190-01/2020	SARS-CoV-2	2020-03-06	GH	USA	New York	C	NY
USA/NY-Wadsworth-11191-01/2020	SARS-CoV-2	2020-03-06	GH	USA	New York	C	NY
USA/NY-Wadsworth-11202-01/2020	SARS-CoV-2	2020-03-06	GH	USA	New York	C	NY
USA/NY-Wadsworth-11207-01/2020	SARS-CoV-2	2020-03-06	GH	USA	New York	C	NY
USA/NY-Wadsworth-11245-01/2020	SARS-CoV-2	2020-03-06	GH	USA	New York	C	NY
USA/NY-Wadsworth-11249-01/2020	SARS-CoV-2	2020-03-06	GH	USA	New York	C	NY
USA/NY-Wadsworth-11291-01/2020	SARS-CoV-2	2020-03-06	GH	USA	New York	C	NY
USA/NY-Wadsworth-11330-01/2020	SARS-CoV-2	2020-03-07	GH	USA	New York	C	NY
USA/NY-Wadsworth-11380-01/2020	SARS-CoV-2	2020-03-06	GH	USA	New York	C	NY
USA/NY-Wadsworth-11717-01/2020	SARS-CoV-2	2020-03-08	GH	USA	New York	C	NY
USA/NY-Wadsworth-11735-01/2020	SARS-CoV-2	2020-03-08	GH	USA	New York	C	NY
USA/NY-Wadsworth-12883-02/2020	SARS-CoV-2	2020-03-10	GH	USA	New York	C	NY
USA/NY2-PV08100/2020	SARS-CoV-2	2020-03-04	S	USA	New York	C	NY
USA/NJ-CDC-7300/2020	SARS-CoV-2	2020-03-10	GH	USA	New Jersey	C	NJ
